bacia,acc_naturais,l1_naturais,l2_naturais,l3_naturais,acc_antropicas,l1_antropicas,l2_antropicas,l3_antropicas
7691,0.696969696969697,0.4,0.2,0.2,0,0.2,0.2,0.2
7754,0.8431372549019608,0.2,0.2,0.2,0.05,0.2,0.2,0.2
7581,0.8043478260869565,0.2,0.2,0.2,0.11764705882352941,0.2,0.2,0.2
7625,0.8405797101449275,0.8,0.2,0.2,0,0.2,0.2,0.2
7584,0.8130841121495327,0.6,0.2,0.2,0,0.2,0.2,0.2
751,0.7437185929648241,0.6,0.2,0.2,0,0.2,0.2,0.2
7614,0.912621359223301,0.8,0.2,0.2,0.06818181818181818,0.2,0.2,0.2
7616,0.8333333333333334,0.8,0.2,0.2,0.15217391304347827,0.2,0.2,0.2
745,0.7405405405405405,0.8,0.2,0.2,0,0.2,0.2,0.2
7424,0.84472049689441,0.8,0.2,0.2,0,0.2,0.2,0.2
773,0.8548387096774194,0.2,0.2,0.2,0,0.2,0.2,0.2
7612,0.8385093167701864,0.6,0.2,0.2,0,0.2,0.2,0.2
7613,0.7365853658536585,0.6,0.2,0.2,0,0.2,0.2,0.2
7618,0.9403973509933775,0.4,0.2,0.2,0.6555555555555556,0.2,0.2,0.2
7561,0.6733668341708543,0.4,0.2,0.2,0,0.2,0.2,0.2
755,0.796875,0.6,0.2,0.2,0.09009009009009009,0.2,0.2,0.2
7617,0.8673469387755102,0.4,0.2,0.2,0,0.2,0.2,0.2
7564,0.9090909090909091,0.8,0.2,0.2,0,0.2,0.2,0.2
761111,0.7068965517241379,0.2,0.2,0.2,0.031007751937984496,0.2,0.2,0.2
761112,0.7272727272727273,0.2,0.2,0.2,0.025423728813559324,0.2,0.2,0.2
7741,0.7906976744186046,0.6,0.2,0.2,0.019417475728155338,0.2,0.2,0.2
7422,0.8497652582159625,0.4,0.2,0.2,0.03773584905660377,0.2,0.2,0.2
76116,0.7344632768361582,0.4,0.2,0.2,0,0.2,0.2,0.2
7761,0.8620689655172413,0.4,0.2,0.2,0.09202453987730061,0.2,0.2,0.2
7671,0.8046511627906977,0.4,0.2,0.2,0,0.2,0.2,0.2
7615,0.7339055793991416,0.4,0.2,0.2,0.010869565217391304,0.2,0.2,0.2
7411,0.809375,0.8,0.2,0.2,0.018691588785046728,0.2,0.2,0.2
7764,0.7557603686635944,0.8,0.2,0.2,0.11049723756906077,0.2,0.2,0.2
757,0.7456140350877193,0.8,0.2,0.2,0.22448979591836735,0.2,0.2,0.2
771,0.8,0.2,0.2,0.2,0.015151515151515152,0.2,0.2,0.2
766,0.8225806451612904,0.6,0.2,0.2,0.016666666666666666,0.2,0.2,0.2
7746,0.7805907172995781,0.6,0.2,0.2,0.05649717514124294,0.2,0.2,0.2
753,0.7715617715617715,0.8,0.2,0.2,0.12883435582822086,0.2,0.2,0.2
764,0.8679867986798679,0.8,0.2,0.2,0.0125,0.2,0.2,0.2
7541,0.7528409090909091,0.6,0.2,0.2,0.039735099337748346,0.2,0.2,0.2
7721,0.9210526315789473,0.8,0.2,0.2,0.08808290155440414,0.2,0.2,0.2
772,0.863013698630137,0.4,0.2,0.2,0.0234375,0.2,0.2,0.2
7619,0.8810975609756098,0.6,0.2,0.2,0.5675675675675675,0.2,0.2,0.2
7443,0.8571428571428571,0.8,0.2,0.2,0,0.2,0.2,0.2
7544,0.9157509157509157,0.8,0.2,0.2,0.09375,0.2,0.2,0.2
7438,0.852760736196319,0.8,0.2,0.2,0,0.2,0.2,0.2
763,0.8171091445427728,0.6,0.2,0.2,0.060240963855421686,0.2,0.2,0.2
7591,0.9622641509433962,0.2,0.2,0.2,0.14666666666666667,0.2,0.2,0.2
7592,0.9102564102564102,0.4,0.2,0.2,0.0410958904109589,0.2,0.2,0.2
746,0.8230088495575221,0.8,0.2,0.2,0.10576923076923077,0.2,0.2,0.2
7712,0.8538461538461538,0.6,0.2,0.2,0.041666666666666664,0.2,0.2,0.2
7622,0.7969543147208121,0.8,0.2,0.2,0.3153846153846154,0.2,0.2,0.2
752,0.8531073446327684,0.6,0.2,0.2,0.08888888888888889,0.2,0.2,0.2
